ResultsFK,Time,WaitingTime
1,44012.99652777778,0.0001466452595195733
1,44013.0,0.00025317419931525365
1,44013.00347222222,8.48700656206347e-05
1,44013.006944444445,3.938477311749011e-05
1,44013.010416666664,0.00043610571447061375
1,44013.01388888889,0.0004226893070153892
1,44013.01736111111,0.00029734265990555286
1,44013.020833333336,0.0012658224877668545
1,44013.024305555555,0.002905079112679232
1,44013.02777777778,0.003173362259985879
1,44013.03125,0.0027514374523889273
1,44013.03472222222,0.0025253935891669244
1,44013.038194444445,0.0018688604031922296
1,44013.041666666664,0.003239537480112631
1,44013.04513888889,0.003523193037835881
1,44013.04861111111,0.003654689484392293
1,44013.052083333336,0.003569709457224235
1,44013.055555555555,0.0030997450230643153
1,44013.05902777778,0.002514192739909049
1,44013.0625,0.0018847546380129643
1,44013.06597222222,0.0019518052431521937
1,44013.069444444445,0.0016905285156099126
1,44013.072916666664,0.0019007375522051007
1,44013.07638888889,0.0021147696024854667
1,44013.07986111111,0.0030470942292595282
1,44013.083333333336,0.0034817372652469203
1,44013.086805555555,0.003805864449532237
1,44013.09027777778,0.0017733289641910233
1,44013.09375,0.0002573895835666917
1,44013.09722222222,0.0001277245464734733
1,44013.100694444445,0.0008510409170412458
1,44013.104166666664,0.001022183227178175
1,44013.10763888889,9.793756908038631e-05
1,44013.11111111111,0.00028625755658140406
1,44013.114583333336,0.00016833363042678684
1,44013.118055555555,0.0003764577195397578
1,44013.12152777778,0.002059848644421436
1,44013.125,0.002308070870640222
1,44013.12847222222,0.002143408462870866
1,44013.131944444445,0.002076085875160061
1,44013.135416666664,0.0018074453400913626
1,44013.13888888889,0.0025273637656937353
1,44013.14236111111,0.0038720186057616957
1,44013.145833333336,0.0041744520858628675
1,44013.149305555555,0.004059326340211555
1,44013.15277777778,0.003603990058763884
1,44013.15625,0.004440999029611703
1,44013.15972222222,0.004932298106723465
1,44013.163194444445,0.005007492894947063
1,44013.166666666664,0.004964995081536472
1,44013.17013888889,0.005343265758710913
1,44013.17361111111,0.005516442914085928
1,44013.177083333336,0.005433982034446672
1,44013.180555555555,0.004848950768064242
1,44013.18402777778,0.004994074290152639
1,44013.1875,0.005008965767046902
1,44013.19097222222,0.005622748256428167
1,44013.194444444445,0.0057489434475428425
1,44013.197916666664,0.005237865589151625
1,44013.20138888889,0.005405092641012743
1,44013.20486111111,0.005396814136474859
1,44013.208333333336,0.00547526669834042
1,44013.211805555555,0.005514946351468097
1,44013.21527777778,0.005489618415595032
1,44013.21875,0.005517067518667318
1,44013.22222222222,0.00557141519675497
1,44013.225694444445,0.005793085190816782
1,44013.229166666664,0.0062345596961677074
1,44013.23263888889,0.006246534983802121
1,44013.23611111111,0.0064025438769022
1,44013.239583333336,0.00628075968415942
1,44013.243055555555,0.005915486195590347
1,44013.24652777778,0.005267034197458997
1,44013.25,0.00480832173343515
1,44013.25347222222,0.004612516553606838
1,44013.256944444445,0.005064627788669895
1,44013.260416666664,0.005214855198573787
1,44013.26388888889,0.005428071497590281
1,44013.26736111111,0.000957512209424749
1,44013.270833333336,0.0
1,44013.274305555555,0.0
1,44013.27777777778,0.0
1,44013.28125,0.0
1,44013.28472222222,0.0001646176606300287
1,44013.288194444445,0.00020206016779411584
1,44013.291666666664,0.00022440843167714775
1,44013.29513888889,0.0
1,44013.29861111111,0.00022336961410474032
1,44013.302083333336,9.601175406714901e-05
1,44013.305555555555,0.00050940785149578
1,44013.30902777778,0.0007292046866496094
1,44013.3125,0.0010529533756198362
1,44013.31597222222,0.002863934772904031
1,44013.319444444445,0.0032420651987195015
1,44013.322916666664,0.003346860408782959
1,44013.32638888889,0.0032679708892828785
1,44013.32986111111,0.0038843005168018863
1,44013.333333333336,0.004003697344160173
1,44013.336805555555,0.003601552016334608
1,44013.34027777778,0.0033903056901181117
1,44013.34375,0.0030449435944319703
1,44013.34722222222,0.0023525067954324186
1,44013.350694444445,0.002446078920911532
1,44013.354166666664,0.0029111263575032353
1,44013.35763888889,0.003299260562926065
1,44013.36111111111,0.0038325222049024887
1,44013.364583333336,0.00421264128817711
1,44013.368055555555,0.004488014412345365
1,44013.37152777778,0.004633237644156907
1,44013.375,0.004607251692505088
1,44013.37847222222,0.004739027703180909
1,44013.381944444445,0.004610203213815112
1,44013.385416666664,0.004644501022994518
1,44013.38888888889,0.0043371947249397635
1,44013.39236111111,0.0046310546167660505
1,44013.395833333336,0.005259061515971553
1,44013.399305555555,0.005594345515419263
1,44013.40277777778,0.005217293968598824
1,44013.40625,0.005210544928559102
1,44013.40972222222,0.004827532437047921
1,44013.413194444445,0.004104265775822569
1,44013.416666666664,0.0040340301202377304
1,44013.42013888889,0.004454029003682081
1,44013.42361111111,0.004867370429565199
1,44013.427083333336,0.005139883644005749
1,44013.430555555555,0.005087885008833837
1,44013.43402777778,0.004094361735042185
1,44013.4375,0.0034106771563529037
1,44013.44097222222,0.0028760285713360645
1,44013.444444444445,0.0
1,44013.447916666664,0.0
1,44013.45138888889,0.0
1,44013.45486111111,0.0002854425329132937
1,44013.458333333336,0.0003681008529383689
1,44013.461805555555,0.00020970134937670082
1,44013.46527777778,0.0014370211138157174
1,44013.46875,0.0025880861721816473
1,44013.47222222222,0.003556747586117126
1,44013.475694444445,0.003679062705487013
1,44013.479166666664,0.0036098688433412462
1,44013.48263888889,0.004130034525587689
1,44013.48611111111,0.004691757429100107
1,44013.489583333336,0.005132789010531269
1,44013.493055555555,0.0055467749771196395
1,44013.49652777778,0.0057068475216510706
1,44013.5,0.005427264186437242
1,44013.50347222222,0.005249867295788135
1,44013.506944444445,0.004871384480793495
1,44013.510416666664,0.004597520484821871
1,44013.51388888889,0.0033310393773717806
1,44013.51736111111,0.0031615849802619778
1,44013.520833333336,0.0030897895703674294
