ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
1,44013.15625,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.15625,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.15625,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.15972222222,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.15972222222,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.15972222222,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.163194444445,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.163194444445,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.163194444445,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.166666666664,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.166666666664,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.166666666664,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.17013888889,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.17013888889,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.17013888889,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.17361111111,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.17361111111,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.17361111111,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.177083333336,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.177083333336,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.177083333336,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.180555555555,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.180555555555,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.180555555555,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.18402777778,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.18402777778,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.18402777778,,,L0 Immigration Control 1_Normal_09,Normal
